,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
0,2023-03-30 21:13:00,6089.0,6094.0,6088.0,6094.0,12.0,,,,,0.0,no,no,no,no,no,no,no,no,no,NA,NA,NA
1,2023-03-30 21:14:00,6095.0,6096.0,6093.0,6096.0,11.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
2,2023-03-30 21:15:00,6095.0,6096.0,6091.0,6091.0,12.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
3,2023-03-30 21:16:00,6090.0,6093.0,6088.0,6093.0,14.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
4,2023-03-30 21:17:00,6092.0,6092.0,6089.0,6090.0,9.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
5,2023-03-30 21:18:00,6090.0,6090.0,6088.0,6088.0,10.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
6,2023-03-30 21:19:00,6084.0,6089.0,6080.0,6089.0,23.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
7,2023-03-30 21:20:00,6086.0,6100.0,6086.0,6099.0,22.0,,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
8,2023-03-30 21:21:00,6099.0,6101.0,6096.0,6100.0,11.0,6093.333333333333,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
9,2023-03-30 21:22:00,6098.0,6100.0,6097.0,6099.0,16.0,6094.466666666666,,,,,no,no,no,no,no,no,no,no,no,NA,NA,NA
10,2023-03-30 21:23:00,6100.0,6102.0,6097.0,6098.0,12.0,6095.173333333333,,,,6083.0,no,no,no,no,no,green,no,no,no,green,NA,NA
11,2023-03-30 21:24:00,6099.0,6099.0,6098.0,6098.0,7.0,6095.738666666666,,,,6083.35,no,no,no,no,no,green,no,no,no,green,NA,NA
12,2023-03-30 21:25:00,6100.0,6106.0,6098.0,6104.0,24.0,6097.390933333333,,,,6085.965,no,no,no,no,no,green,no,no,no,green,NA,NA
13,2023-03-30 21:26:00,6104.0,6106.0,6102.0,6102.0,24.0,6098.3127466666665,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
14,2023-03-30 21:27:00,6101.0,6102.0,6097.0,6097.0,12.0,6098.050197333333,,,,6088.3685,no,no,no,no,no,red,no,no,no,green,NA,NA
15,2023-03-30 21:28:00,6099.0,6100.0,6094.0,6095.0,12.0,6097.440157866667,,,,6088.3685,no,no,no,no,no,red,no,no,no,green,NA,NA
16,2023-03-30 21:29:00,6094.0,6097.0,6093.0,6097.0,8.0,6097.352126293334,,,,6088.3685,no,no,no,no,no,red,no,no,no,green,NA,NA
17,2023-03-30 21:30:00,6099.0,6104.0,6099.0,6104.0,8.0,6098.681701034667,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
18,2023-03-30 21:31:00,6105.0,6105.0,6102.0,6102.0,18.0,6099.345360827733,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
19,2023-03-30 21:32:00,6102.0,6102.0,6100.0,6100.0,2.0,6099.476288662187,,,,6088.3685,no,no,no,no,no,green,no,no,no,green,NA,NA
20,2023-03-30 21:33:00,6100.0,6114.0,6100.0,6112.0,39.0,6101.981030929749,6097.523809523809,,,6089.87623850765,green,no,no,no,no,green,no,no,no,green,NA,NA
21,2023-03-30 21:34:00,6111.0,6112.0,6107.0,6110.0,24.0,6103.584824743799,6098.658008658008,,,6092.588614656885,green,no,no,no,no,green,no,no,no,green,NA,NA
22,2023-03-30 21:35:00,6111.0,6111.0,6108.0,6111.0,18.0,6105.067859795039,6099.780007870916,,,6093.379753191197,green,no,no,no,no,green,no,no,no,green,NA,NA
23,2023-03-30 21:36:00,6110.0,6110.0,6106.0,6106.0,10.0,6105.254287836031,6100.345461700833,,,6093.379753191197,green,no,no,no,no,green,no,no,no,green,NA,NA
24,2023-03-30 21:37:00,6106.0,6113.0,6106.0,6112.0,8.0,6106.603430268825,6101.404965182575,,,6093.379753191197,green,no,no,no,no,green,no,no,no,green,NA,NA
25,2023-03-30 21:38:00,6111.0,6112.0,6109.0,6111.0,16.0,6107.48274421506,6102.277241075069,,,6094.743340076382,green,no,no,no,no,green,no,no,no,green,NA,NA
26,2023-03-30 21:39:00,6111.0,6113.0,6111.0,6111.0,22.0,6108.186195372048,6103.070219159154,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
27,2023-03-30 21:40:00,6111.0,6111.0,6102.0,6106.0,26.0,6107.748956297639,6103.3365628719575,,,6097.219006068744,green,no,no,no,no,red,no,no,no,green,NA,NA
28,2023-03-30 21:41:00,6109.0,6112.0,6107.0,6109.0,14.0,6107.999165038111,6103.851420792688,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
29,2023-03-30 21:42:00,6108.0,6111.0,6107.0,6109.0,7.0,6108.199332030488,6104.319473447898,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
30,2023-03-30 21:43:00,6110.0,6115.0,6110.0,6110.0,13.0,6108.55946562439,6104.835884952635,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
31,2023-03-30 21:44:00,6108.0,6115.0,6108.0,6114.0,16.0,6109.6475724995125,6105.6689863205775,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
32,2023-03-30 21:45:00,6110.0,6113.0,6106.0,6111.0,19.0,6109.91805799961,6106.1536239277975,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
33,2023-03-30 21:46:00,6112.0,6112.0,6108.0,6111.0,8.0,6110.134446399688,6106.594203570725,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
34,2023-03-30 21:47:00,6111.0,6114.0,6111.0,6112.0,11.0,6110.50755711975,6107.08563960975,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
35,2023-03-30 21:48:00,6113.0,6115.0,6109.0,6109.0,16.0,6110.206045695801,6107.2596723725,,,6097.219006068744,green,no,no,no,no,red,no,no,no,green,NA,NA
36,2023-03-30 21:49:00,6108.0,6111.0,6108.0,6111.0,15.0,6110.3648365566405,6107.599702156818,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
37,2023-03-30 21:50:00,6109.0,6112.0,6107.0,6112.0,19.0,6110.691869245313,6107.999729233471,,,6097.219006068744,green,no,no,no,no,green,no,no,no,green,NA,NA
38,2023-03-30 21:51:00,6113.0,6114.0,6112.0,6113.0,15.0,6111.15349539625,6108.4542993031555,,,6098.540595478844,green,no,no,no,no,green,no,no,no,green,NA,NA
39,2023-03-30 21:52:00,6114.0,6114.0,6110.0,6110.0,12.0,6110.922796317,6108.594817548324,,,6098.540595478844,green,no,no,no,no,red,no,no,no,green,NA,NA
40,2023-03-30 21:53:00,6111.0,6112.0,6110.0,6110.0,13.0,6110.7382370536,6108.722561407567,,,6098.540595478844,green,no,no,no,no,red,no,no,no,green,NA,NA
41,2023-03-30 21:54:00,6109.0,6110.0,6104.0,6106.0,30.0,6109.79058964288,6108.475055825061,,,6098.540595478844,green,no,no,no,no,red,no,no,no,green,NA,NA
42,2023-03-30 21:55:00,6107.0,6107.0,6102.0,6103.0,17.0,6108.4324717143045,6107.977323477328,,,6098.540595478844,green,no,no,no,no,red,no,no,no,green,NA,NA
43,2023-03-30 21:56:00,6104.0,6105.0,6101.0,6104.0,14.0,6107.545977371444,6107.615748615753,,,6098.540595478844,red,no,no,no,no,red,no,no,no,green,NA,NA
44,2023-03-30 21:57:00,6102.0,6103.0,6100.0,6101.0,13.0,6106.236781897155,6107.014316923412,,,6098.540595478844,red,no,no,no,no,red,no,no,no,green,NA,NA
45,2023-03-30 21:58:00,6102.0,6106.0,6101.0,6106.0,19.0,6106.189425517724,6106.9221062940105,,,6098.540595478844,red,no,no,no,no,red,no,no,no,green,NA,NA
46,2023-03-30 21:59:00,6105.0,6105.0,6102.0,6104.0,10.0,6105.7515404141795,6106.6564602672825,,,6098.540595478844,red,no,no,no,no,red,no,no,no,green,NA,NA
47,2023-03-30 22:00:00,6104.0,6106.0,6102.0,6106.0,7.0,6105.801232331343,6106.596782061166,,,6098.540595478844,red,no,no,no,no,green,no,no,no,green,NA,NA
48,2023-03-30 22:01:00,6105.0,6108.0,6105.0,6107.0,7.0,6106.040985865075,6106.633438237423,,,6098.540595478844,red,no,no,no,no,green,no,no,no,green,NA,NA
49,2023-03-30 22:02:00,6108.0,6108.0,6097.0,6097.0,11.0,6104.232788692059,6105.75767112493,,,6117.46793430141,red,no,no,no,no,red,no,no,no,red,WHEN SUPERTREND SIGNAL CHANGED TO RED,sell
50,2023-03-30 22:03:00,6098.0,6100.0,6097.0,6099.0,12.0,6103.186230953647,6105.1433373863,,,6112.87114087127,red,no,no,no,no,red,no,no,no,red,NA,NA
51,2023-03-30 22:04:00,6099.0,6099.0,6097.0,6097.0,14.0,6101.9489847629175,6104.403033987545,,,6111.534026784142,red,no,no,no,no,red,no,no,no,red,NA,NA
52,2023-03-30 22:05:00,6097.0,6099.0,6097.0,6099.0,10.0,6101.359187810334,6103.911849079586,,,6110.780624105728,red,no,no,no,no,red,no,no,no,red,NA,NA
