,date,open,high,low,close,volume,prev_close,high-low,high-pc,low-pc,atr,upperband,lowerband,in_uptrend,supertrend,sup_signal,datetime
0,1679543100,1077.0,1080.4,1061.0,1062.5,265635,,19.40000000000009,,,,,,True,0.0,,2023-03-23 03:45:00
1,1679544000,1062.5,1070.0,1061.2,1069.45,130834,1062.5,8.799999999999955,7.5,1.2999999999999545,,,,True,,,2023-03-23 04:00:00
2,1679544900,1069.25,1071.85,1067.6,1069.95,107471,1069.45,4.25,2.3999999999998636,1.8500000000001364,,,,True,,,2023-03-23 04:15:00
3,1679545800,1069.95,1070.45,1068.0,1068.0,53589,1069.95,2.4500000000000455,0.5,1.9500000000000455,,,,True,,,2023-03-23 04:30:00
4,1679546700,1068.0,1070.25,1068.0,1069.65,41359,1068.0,2.25,2.25,0.0,,,,True,,,2023-03-23 04:45:00
5,1679547600,1069.75,1070.45,1068.45,1069.8,37847,1069.65,2.0,0.7999999999999545,1.2000000000000455,,,,True,,,2023-03-23 05:00:00
6,1679548500,1069.8,1070.0,1068.05,1069.2,14561,1069.8,1.9500000000000455,0.20000000000004547,1.75,,,,True,,,2023-03-23 05:15:00
7,1679549400,1069.0,1069.95,1067.7,1068.25,28662,1069.2,2.25,0.75,1.5,,,,True,,,2023-03-23 05:30:00
8,1679550300,1068.2,1069.85,1067.75,1068.3,34019,1068.25,2.099999999999909,1.599999999999909,0.5,,,,True,,,2023-03-23 05:45:00
9,1679551200,1068.3,1069.6,1068.0,1069.15,39599,1068.3,1.599999999999909,1.2999999999999545,0.2999999999999545,4.704999999999996,1082.915,1054.685,True,,,2023-03-23 06:00:00
10,1679552100,1069.2,1069.2,1064.0,1067.0,95707,1069.15,5.2000000000000455,0.049999999999954525,5.150000000000091,3.284999999999991,1076.455,1056.745,True,1054.685,,2023-03-23 06:15:00
11,1679553000,1067.0,1068.6,1065.0,1068.05,52450,1067.0,3.599999999999909,1.599999999999909,2.0,2.7649999999999864,1075.0949999999998,1058.505,True,1056.745,,2023-03-23 06:30:00
12,1679553900,1068.3,1068.5,1066.0,1067.3,78925,1068.05,2.5,0.4500000000000455,2.0499999999999545,2.5899999999999865,1075.02,1059.48,True,1058.505,,2023-03-23 06:45:00
13,1679554800,1067.3,1069.2,1067.0,1068.0,39540,1067.3,2.2000000000000455,1.900000000000091,0.2999999999999545,2.564999999999986,1075.7949999999998,1060.405,True,1059.48,,2023-03-23 07:00:00
14,1679555700,1068.0,1069.3,1067.65,1068.5,36496,1068.0,1.6499999999998636,1.2999999999999545,0.34999999999990905,2.504999999999973,1075.9899999999998,1060.96,True,1060.405,,2023-03-23 07:15:00
15,1679556600,1068.5,1069.2,1067.6,1068.55,238696,1068.5,1.6000000000001364,0.7000000000000455,0.900000000000091,2.4649999999999865,1075.795,1061.005,True,1060.96,,2023-03-23 07:30:00
16,1679557500,1068.45,1069.25,1067.45,1068.6,30335,1068.55,1.7999999999999545,0.7000000000000455,1.099999999999909,2.449999999999977,1075.6999999999998,1061.005,True,1061.005,,2023-03-23 07:45:00
17,1679558400,1068.6,1069.95,1067.55,1067.95,40606,1068.6,2.400000000000091,1.3500000000001364,1.0499999999999545,2.4649999999999865,1076.145,1061.355,True,1061.005,,2023-03-23 08:00:00
18,1679559300,1068.0,1068.65,1065.75,1066.75,54035,1067.95,2.900000000000091,0.7000000000000455,2.2000000000000455,2.5450000000000044,1074.835,1061.355,True,1061.355,,2023-03-23 08:15:00
19,1679560200,1066.85,1067.8,1065.0,1065.5,67185,1066.75,2.7999999999999545,1.0499999999999545,1.75,2.665000000000009,1074.3950000000002,1061.355,True,1061.355,,2023-03-23 08:30:00
20,1679561100,1065.05,1066.05,1064.5,1064.75,65878,1065.5,1.5499999999999545,0.5499999999999545,1.0,2.3,1072.1750000000002,1061.355,True,1061.355,,2023-03-23 08:45:00
21,1679562000,1065.0,1067.6,1064.85,1066.4,67884,1064.75,2.75,2.849999999999909,0.09999999999990905,2.225,1072.8999999999999,1061.355,True,1061.355,,2023-03-23 09:00:00
22,1679562900,1066.45,1067.25,1065.5,1065.75,63978,1066.4,1.75,0.849999999999909,0.900000000000091,2.15,1072.825,1061.355,True,1061.355,,2023-03-23 09:15:00
23,1679563800,1065.8,1066.75,1065.2,1065.95,230951,1065.75,1.5499999999999545,1.0,0.5499999999999545,2.084999999999991,1072.2299999999998,1061.355,True,1061.355,,2023-03-23 09:30:00
24,1679564700,1065.95,1067.05,1065.2,1065.25,256705,1065.95,1.849999999999909,1.099999999999909,0.75,2.1049999999999955,1072.44,1061.355,True,1061.355,,2023-03-23 09:45:00
25,1679629500,1073.0,1090.0,1068.6,1069.2,399424,1065.25,21.40000000000009,24.75,3.349999999999909,4.419999999999982,1092.56,1066.04,True,1061.355,,2023-03-24 03:45:00
26,1679630400,1069.2,1071.7,1068.0,1068.2,43744,1069.2,3.7000000000000455,2.5,1.2000000000000455,4.6099999999999905,1083.6799999999998,1066.04,True,1066.04,,2023-03-24 04:00:00
