Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ShootingStar,Hammer
2022-03-24 00:00:00+05:30,3583.5156822024005,3639.8833680747866,3578.673093442668,3631.79638671875,1879046,0.0,0.0,False,False
2022-03-25 00:00:00+05:30,3641.5296639182034,3660.512705723768,3556.397051307759,3590.73095703125,1690133,0.0,0.0,False,False
2022-03-28 00:00:00+05:30,3578.673016636422,3596.106335797303,3545.937070032307,3590.97314453125,1760990,0.0,0.0,False,False
2022-03-29 00:00:00+05:30,3578.430639662455,3604.822746010869,3574.798698421848,3588.697021484375,2689063,0.0,0.0,False,False
2022-03-30 00:00:00+05:30,3620.3191574902794,3620.3191574902794,3589.520247382846,3614.072265625,1583455,0.0,0.0,False,False
2022-03-31 00:00:00+05:30,3622.255992704406,3636.4446816234386,3603.079296040364,3622.20751953125,2168110,0.0,0.0,False,False
2022-04-01 00:00:00+05:30,3630.0042065908715,3644.531971558551,3610.6823264747595,3640.415771484375,1387014,0.0,0.0,False,False
2022-04-04 00:00:00+05:30,3643.5634177653383,3660.996735553689,3619.4474227399214,3651.650634765625,1472994,0.0,0.0,False,False
2022-04-05 00:00:00+05:30,3653.248810640046,3714.846631721511,3653.248810640046,3694.701416015625,2314947,0.0,0.0,False,False
2022-04-06 00:00:00+05:30,3689.3742819602658,3689.3742819602658,3613.6844867550867,3637.122802734375,2051729,0.0,0.0,False,False
2022-04-07 00:00:00+05:30,3627.5827125252426,3627.5827125252426,3563.176291384426,3568.1640625,2494829,0.0,0.0,False,False
2022-04-08 00:00:00+05:30,3573.830334101683,3588.3580996874625,3527.825743080049,3569.6171875,2296773,0.0,0.0,False,False
2022-04-11 00:00:00+05:30,3573.8303897624205,3595.4768554041725,3540.9977336090133,3580.02880859375,2291660,0.0,0.0,False,False
2022-04-12 00:00:00+05:30,3567.050907661257,3621.28790218448,3533.4918618818256,3574.89599609375,4483476,0.0,0.0,False,False
2022-04-13 00:00:00+05:30,3590.2950995800015,3593.0554695957985,3540.4649114046542,3546.663330078125,1621672,0.0,0.0,False,False
2022-04-18 00:00:00+05:30,3496.348734296213,3496.348734296213,3411.6034394898643,3416.978759765625,3820792,0.0,0.0,False,False
2022-04-19 00:00:00+05:30,3438.2375112352224,3451.360972125343,3330.8772397180937,3362.59619140625,3170014,0.0,0.0,False,False
