Time : 2023-03-22 09:49:05.918722
 Details :      open     high      low    close  EMA5  EMA10  EMA20  EMA50  EMA200 signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
188  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
189  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
190  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
191  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
192  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red

[193 rows x 10 columns]Time : 2023-03-22 09:56:46.620867
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
189  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
190  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
191  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
192  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
193  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red

[194 rows x 10 columns]Time : 2023-03-22 09:56:49.004316
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
190  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
191  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
192  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
193  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
194  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[195 rows x 10 columns]Time : 2023-03-22 09:56:51.493314
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
191  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
192  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
193  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
194  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
195  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[196 rows x 10 columns]Time : 2023-03-22 09:56:53.886381
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
192  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
193  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
194  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
195  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
196  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[197 rows x 10 columns]Time : 2023-03-22 09:56:56.306533
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
193  1087.75  1087.75  1087.75  1087.75  ...   1089   1090    1087     red
194  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
195  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
196  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
197  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[198 rows x 10 columns]Time : 2023-03-22 09:56:58.701765
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
194  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
195  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
196  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
197  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
198  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[199 rows x 10 columns]Time : 2023-03-22 09:57:01.064294
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
195  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
196  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
197  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
198  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
199  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[200 rows x 10 columns]Time : 2023-03-22 09:57:03.515078
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
196  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
197  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
198  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
199  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
200  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[201 rows x 10 columns]Time : 2023-03-22 09:57:05.906721
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
197  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
198  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
199  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
200  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
201  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[202 rows x 10 columns]Time : 2023-03-22 09:57:08.282567
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
198  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
199  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
200  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
201  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
202  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[203 rows x 10 columns]Time : 2023-03-22 09:57:10.689754
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
199  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
200  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
201  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
202  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
203  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[204 rows x 10 columns]Time : 2023-03-22 09:57:13.084460
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
200  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
201  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
202  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
203  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red
204  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087     red

[205 rows x 10 columns]Time : 2023-03-22 09:57:15.452015
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
201  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
202  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
203  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
204  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
205  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[206 rows x 10 columns]Time : 2023-03-22 09:57:17.905375
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
202  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
203  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
204  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
205  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
206  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[207 rows x 10 columns]Time : 2023-03-22 09:57:20.292627
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
203  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
204  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
205  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
206  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
207  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[208 rows x 10 columns]Time : 2023-03-22 09:57:22.666251
 Details :         open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.70  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..       ...      ...      ...      ...  ...    ...    ...     ...     ...
204  1087.75  1088.70  1087.65  1088.60  ...   1089   1090    1087      no
205  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
206  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
207  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
208  1089.30  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[209 rows x 10 columns]Time : 2023-03-22 09:57:25.088326
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
205  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
206  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
207  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
208  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
209  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[210 rows x 10 columns]Time : 2023-03-22 09:57:27.477656
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
206  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
207  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
208  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
209  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
210  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[211 rows x 10 columns]Time : 2023-03-22 09:57:29.876095
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
207  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
208  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
209  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
210  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
211  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[212 rows x 10 columns]Time : 2023-03-22 09:57:32.250197
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
208  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
209  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
210  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
211  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
212  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[213 rows x 10 columns]Time : 2023-03-22 09:57:34.617810
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
209  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
210  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
211  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
212  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
213  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[214 rows x 10 columns]Time : 2023-03-22 09:57:37.068968
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
210  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
211  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
212  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
213  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
214  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[215 rows x 10 columns]Time : 2023-03-22 09:57:39.452476
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
211  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
212  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
213  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
214  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
215  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[216 rows x 10 columns]Time : 2023-03-22 09:57:41.835006
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
212  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
213  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
214  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
215  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
216  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[217 rows x 10 columns]Time : 2023-03-22 09:57:44.268369
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
213  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
214  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
215  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
216  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
217  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[218 rows x 10 columns]Time : 2023-03-22 09:57:46.782049
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
214  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
215  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
216  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
217  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
218  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red

[219 rows x 10 columns]Time : 2023-03-22 09:57:49.222992
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087      no
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
215  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
216  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
217  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no
218  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087      no
219  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087      no

[220 rows x 10 columns]Time : 2023-03-22 09:57:51.704213
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
216  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
217  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
218  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red
219  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
220  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red

[221 rows x 10 columns]Time : 2023-03-22 09:57:54.157070
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
217  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
218  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red
219  1089.3  1089.30  1089.30  1089.30  ...   1089   1090    1087     red
220  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red
221  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red

[222 rows x 10 columns]Time : 2023-03-22 09:57:56.546935
 Details :        open     high      low    close  ...  EMA20  EMA50  EMA200  signal
0    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
1    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
2    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
3    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
4    1087.7  1087.95  1087.55  1087.85  ...   1092   1092    1087     red
..      ...      ...      ...      ...  ...    ...    ...     ...     ...
218  1089.3  1089.35  1088.10  1088.80  ...   1089   1090    1087     red
