,date,open,high,low,close,volume,EMA_9,EMA_21,EMA_55,EMA_200,EMA_Signal,Supertrend,Sup_Signal
0,2022-04-04,1173.2,1188.95,1168.0,1187.05,2282137,,,,,No Signal,0.0,No Signal
1,2022-04-05,1190.0,1203.0,1184.1,1195.45,2634464,,,,,No Signal,,No Signal
2,2022-04-06,1190.0,1194.9,1167.5,1170.5,2838968,,,,,No Signal,,No Signal
3,2022-04-07,1165.6,1180.75,1163.0,1173.3,3391918,,,,,No Signal,,No Signal
4,2022-04-08,1179.0,1180.0,1162.55,1165.35,2656091,,,,,No Signal,,No Signal
5,2022-04-11,1164.0,1164.0,1131.75,1133.5,5679058,,,,,No Signal,,No Signal
6,2022-04-12,1129.8,1141.7,1119.55,1131.15,2906617,,,,,No Signal,,No Signal
7,2022-04-13,1135.0,1143.1,1123.0,1125.1,1971580,,,,,No Signal,,No Signal
8,2022-04-18,1110.0,1112.75,1084.6,1101.75,4391701,1153.6833333333334,,,,No Signal,,No Signal
9,2022-04-19,1115.9,1115.95,1058.75,1070.25,3422431,1136.9966666666667,,,,No Signal,,No Signal
10,2022-04-20,1075.0,1094.8,1064.7,1089.4,2573318,1127.4773333333333,,,,No Signal,994.04,No Signal
11,2022-04-21,1095.0,1105.05,1081.1,1099.2,2547848,1121.8218666666667,,,,No Signal,1008.7509999999997,No Signal
12,2022-04-22,1086.6,1134.95,1081.1,1102.05,9567571,1117.8674933333334,,,,No Signal,1015.9784,No Signal
13,2022-04-25,1096.9,1098.0,1077.3,1089.85,3565801,1112.2639946666668,,,,No Signal,1015.9784,No Signal
14,2022-04-26,1104.0,1107.0,1085.05,1094.3,3213714,1108.6711957333334,,,,No Signal,1015.9784,No Signal
15,2022-04-27,1087.0,1099.9,1074.6,1095.6,3288792,1106.0569565866667,,,,No Signal,1015.9784,No Signal
16,2022-04-28,1092.0,1102.3,1073.3,1092.5,5202061,1103.3455652693333,,,,No Signal,1015.9784,No Signal
17,2022-04-29,1094.0,1100.5,1074.35,1079.25,2988180,1098.5264522154666,,,,No Signal,1015.9784,No Signal
18,2022-05-02,1073.0,1082.0,1062.0,1066.9,2584604,1092.2011617723733,,,,No Signal,1015.9784,No Signal
19,2022-05-04,1075.9,1076.0,1035.8,1044.95,3385725,1082.7509294178988,,,,No Signal,1015.9784,No Signal
20,2022-05-05,1059.0,1075.2,1047.1,1072.05,2982126,1080.610743534319,1113.307142857143,,,Red,1015.9784,No Signal
21,2022-05-06,1049.9,1056.65,1028.95,1050.2,4075606,1074.5285948274552,1107.57012987013,,,Red,1015.9784,No Signal
22,2022-05-09,1044.0,1082.9,1034.1,1076.1,4207192,1074.842875861964,1104.7092089728453,,,Red,1015.9784,No Signal
23,2022-05-10,1073.0,1085.0,1066.6,1072.55,2473518,1074.3843006895713,1101.7856445207685,,,Red,1015.9784,No Signal
24,2022-05-11,1069.0,1079.3,1054.05,1060.9,2895668,1071.6874405516571,1098.0687677461533,,,Red,1015.9784,No Signal
25,2022-05-12,1050.1,1070.95,1043.75,1059.4,3195189,1069.2299524413256,1094.5534252237758,,,Red,1015.9784,No Signal
26,2022-05-13,1070.0,1078.0,1045.1,1052.15,2496626,1065.8139619530605,1090.6985683852506,,,Red,1015.9784,No Signal
27,2022-05-16,1054.0,1066.95,1040.2,1044.55,1415370,1061.5611695624484,1086.5032439865915,,,Red,1015.9784,No Signal
28,2022-05-17,1058.2,1086.0,1045.35,1082.9,2620776,1065.8289356499588,1086.1756763514468,,,Red,1015.9784,No Signal
29,2022-05-18,1083.55,1097.35,1070.8,1073.7,2865869,1067.403148519967,1085.0415239558606,,,Red,1015.9784,No Signal
30,2022-05-19,1055.1,1058.3,1004.6,1009.4,4729354,1055.8025188159736,1078.165021778055,,,Red,1135.0071053632012,Sell
31,2022-05-20,1029.0,1034.5,1016.8,1028.85,2005622,1050.4120150527788,1073.68183798005,,,Red,1126.381394826881,No Signal
32,2022-05-23,1023.0,1037.0,1014.75,1018.3,2285466,1043.989612042223,1068.6471254364092,,,Red,1123.2082553441928,No Signal
33,2022-05-24,1022.05,1022.4,987.0,991.75,3418456,1033.5416896337783,1061.656477669463,,,Red,1102.9199298097735,No Signal
34,2022-05-25,992.0,992.8,963.0,974.45,3904551,1021.7233517070226,1053.7286160631481,,,Red,1075.2379368287961,No Signal
35,2022-05-26,977.0,986.0,969.05,980.7,4278059,1013.5186813656181,1047.0896509664983,,,Red,1070.2141431459165,No Signal
36,2022-05-27,989.0,1010.45,989.0,1003.9,2795530,1011.5949450924945,1043.163319060453,,,Red,1070.2141431459165,No Signal
37,2022-05-30,1019.0,1053.35,1015.65,1039.9,3562969,1017.2559560739957,1042.8666536913208,,,Red,1070.2141431459165,No Signal
38,2022-05-31,1045.0,1045.8,1020.45,1040.75,5185485,1021.9547648591965,1042.6742306284734,,,Red,1070.2141431459165,No Signal
39,2022-06-01,1040.75,1045.45,1011.55,1017.9,2554081,1021.1438118873572,1040.4220278440666,,,Red,1070.2141431459165,No Signal
40,2022-06-02,1011.4,1048.9,1007.3,1039.7,3560227,1024.8550495098857,1040.3563889491516,,,Red,1070.2141431459165,No Signal
41,2022-06-03,1053.95,1069.65,1040.2,1043.0,3556955,1028.4840396079085,1040.5967172265014,,,Red,1070.2141431459165,No Signal
42,2022-06-06,1038.0,1047.35,1021.15,1037.3,1997494,1030.2472316863268,1040.2970156604558,,,Red,1070.2141431459165,No Signal
43,2022-06-07,1030.0,1033.75,1013.15,1022.9,1839248,1028.7777853490616,1038.7154687822326,,,Red,1070.2141431459165,No Signal
44,2022-06-08,1023.1,1033.8,1016.0,1030.2,1665512,1029.0622282792492,1037.941335256575,,,Red,1070.2141431459165,No Signal
45,2022-06-09,1024.95,1031.7,1011.7,1028.65,1654005,1028.9797826233994,1037.0966684150683,,,Red,1070.2141431459165,No Signal
46,2022-06-10,1012.0,1023.75,1008.2,1015.35,2260855,1026.2538260987194,1035.119698559153,,,Red,1070.2141431459165,No Signal
47,2022-06-13,996.0,1002.0,982.5,991.8,1738804,1019.3630608789755,1031.1815441446845,,,Red,1070.2141431459165,No Signal
48,2022-06-14,988.0,1000.95,978.15,996.9,2461791,1014.8704487031804,1028.0650401315313,,,Red,1070.2141431459165,No Signal
