Datetime,Open,High,Low,Close,Adj Close,Volume,symbol
2023-03-16 09:15:00,3202.14990234375,3206.64990234375,3188.699951171875,3189.949951171875,3189.949951171875,64309,TCS
2023-03-16 09:30:00,3190.800048828125,3193.949951171875,3172.0,3172.10009765625,3172.10009765625,92385,TCS
2023-03-16 09:45:00,3172.10009765625,3185.0,3172.0,3184.89990234375,3184.89990234375,65654,TCS
2023-03-16 10:00:00,3184.89990234375,3200.0,3181.0,3189.199951171875,3189.199951171875,76419,TCS
2023-03-16 10:15:00,3189.14990234375,3201.75,3188.0,3195.050048828125,3195.050048828125,59650,TCS
2023-03-16 10:30:00,3195.10009765625,3217.800048828125,3194.550048828125,3212.5,3212.5,116833,TCS
2023-03-16 10:45:00,3211.85009765625,3219.64990234375,3206.0,3214.75,3214.75,54314,TCS
2023-03-16 11:00:00,3214.75,3216.0,3205.0,3215.10009765625,3215.10009765625,128284,TCS
2023-03-16 11:15:00,3215.199951171875,3216.949951171875,3210.60009765625,3214.050048828125,3214.050048828125,30396,TCS
2023-03-16 11:30:00,3214.050048828125,3214.75,3195.050048828125,3197.35009765625,3197.35009765625,118792,TCS
2023-03-16 11:45:00,3198.35009765625,3199.550048828125,3194.949951171875,3196.050048828125,3196.050048828125,43874,TCS
2023-03-16 12:00:00,3195.35009765625,3196.949951171875,3190.300048828125,3190.300048828125,3190.300048828125,42768,TCS
2023-03-16 12:15:00,3190.300048828125,3192.0,3180.300048828125,3182.35009765625,3182.35009765625,53926,TCS
2023-03-16 12:30:00,3182.60009765625,3183.449951171875,3175.0,3176.949951171875,3176.949951171875,53463,TCS
2023-03-16 12:45:00,3176.949951171875,3187.949951171875,3176.949951171875,3187.199951171875,3187.199951171875,42867,TCS
2023-03-16 13:00:00,3187.199951171875,3196.050048828125,3187.0,3194.39990234375,3194.39990234375,51800,TCS
2023-03-16 13:15:00,3195.050048828125,3195.25,3190.10009765625,3192.60009765625,3192.60009765625,30617,TCS
